Date,Team 1,Team 2,Team 1 Score,Team 2 Score,Game Time,Location,Game Status,Winner,Loser,Tie
"Saturday, September 7, 2024",Catonsville Cobras (Gowen),Cockeysville FC (Risch),3,6,9:00 AM,Banneker Community Center - Field 1 (7v7),COMPLETED,Cockeysville FC (Risch),Catonsville Cobras (Gowen),
"Saturday, September 7, 2024",Catonsville Cobras (Dell),Baltimore Bays (Beale),2,4,10:00 AM,Banneker Community Center - Field 1 (7v7),COMPLETED,Baltimore Bays (Beale),Catonsville Cobras (Dell),
"Saturday, September 7, 2024",Overlea/Evolution FC (Strauss),Baltimore Union (Carpenter),1,5,10:00 AM,Overlea High School - Upper Grass,COMPLETED,Baltimore Union (Carpenter),Overlea/Evolution FC (Strauss),
"Saturday, September 7, 2024",North Carroll SC (Crouse),Phoenix FC (Rome),8,2,11:00 AM,North Carroll Middle School - Field 3,COMPLETED,North Carroll SC (Crouse),Phoenix FC (Rome),
"Saturday, September 7, 2024",Southeast SC (Moneymaker),Westminster SA (Petit),1,4,11:00 AM,Chesapeake Terrace Elementary School - Field 5,COMPLETED,Westminster SA (Petit),Southeast SC (Moneymaker),
"Saturday, September 7, 2024",Central Carroll SC White (Shepley),Cockeysville FC (Atkinson),4,4,11:00 AM,Deer Park Sports Complex - Meadow,COMPLETED,Tied,Tied,Tied
"Saturday, September 7, 2024",Baltimore Union (Buscemi),Freedom SC (Vasco),4,3,11:00 AM,Perry Hall Park - Field 3,COMPLETED,Baltimore Union (Buscemi),Freedom SC (Vasco),
"Saturday, September 7, 2024",Westminster SA (Potter),Lutherville-Timonium SC (Kutzer),0,11,1:00 PM,Carroll Community College - 7v7,COMPLETED,Lutherville-Timonium SC (Kutzer),Westminster SA (Potter),
"Saturday, September 7, 2024",Hereford SC (Davis),North Chesapeake (Dietz),1,2,1:00 PM,Genesee Valley - Field 09,COMPLETED,North Chesapeake (Dietz),Hereford SC (Davis),
"Saturday, September 7, 2024",Pipeline SC (Kilpatrick),Towson United (Schnell),3,3,1:00 PM,Notre Dame Prep School - Grass,COMPLETED,Tied,Tied,Tied
"Saturday, September 7, 2024",Fallston (Blair),Baltimore Bays (Rivers),5,2,1:00 PM,Reckord Road Park - Field 4B,COMPLETED,Fallston (Blair),Baltimore Bays (Rivers),
"Saturday, September 7, 2024",Hereford SC (Young),Freedom SC (Kellner),3,0,2:00 PM,Genesee Valley - Field 09,COMPLETED,Hereford SC (Young),Freedom SC (Kellner),
"Saturday, September 7, 2024",Mt. Washington SC (Kolkin),Cockeysville FC (Gehman),3,4,2:00 PM,Hydes Road Park - Field 1,COMPLETED,Cockeysville FC (Gehman),Mt. Washington SC (Kolkin),
"Saturday, September 7, 2024",Churchville SC (Ferguson),Central Carroll SC Blue (Shepley),2,3,2:00 PM,Churchville Rec Complex - Field 2,COMPLETED,Central Carroll SC Blue (Shepley),Churchville SC (Ferguson),
"Saturday, September 7, 2024",Towson United (Wise),Cecil FC (Jones),0,1,2:00 PM,Forge Park - Lower,COMPLETED,Cecil FC (Jones),Towson United (Wise),
"Saturday, September 14, 2024",Central Carroll SC White (Shepley),Catonsville Cobras (Dell),5,0,9:00 AM,Deer Park Sports Complex - Meadow,COMPLETED,Central Carroll SC White (Shepley),Catonsville Cobras (Dell),
"Saturday, September 14, 2024",Overlea/Evolution FC (Strauss),North Carroll SC (Crouse),1,10,9:00 AM,Overlea High School - Upper Grass,COMPLETED,North Carroll SC (Crouse),Overlea/Evolution FC (Strauss),
